,workorderid,wonum,location,description,comune,localita,via,civico,comune_loc,materiale,diametro,l_intervento,status,reportdate,anno,x,y,serv_cost,geometry
8480,1832913,19ODL279279,02A01R01,tubo rotto q.re matteotti aulla,aulla,CODIPONTE,q.re matteotti,0,AULLA,PEAD,272.0,0.0,CLOSE,iso,2019,577460.8358,4895067.9081,332.99,POINT (577460.8358 4895067.9081)
8504,2218407,20ODL285375,19A21R01,PERDITA STRADALE,FIVIZZANO,MONZONE,MOLINO,00,FIVIZZANO,PEAD,90.0,0.0,CLOSE,iso,2020,590927.5904,4891029.1958,219.82,POINT (590927.5904 4891029.1958)
8508,2228779,20ODL295572,27A09R04,Perdita acqua dalla rete VIA FOSSO NUOVO 30  lazzini,MASSA,POVEROMO,VIA FOSSO NUOVO 30,30,MASSA,PEAD,110.0,0.0,CLOSE,iso,2020,591530.5895,4871723.6926,409.2,POINT (591530.5895 4871723.6926)
8514,2236022,20ODL302682,27A09R04,Perdita acqua dalla rete VIA DELLE MACCHIE 152     Rappelli,MASSA,RONCHI,VIA DELLE MACCHIE 152,152,MASSA,FERRO,100.0,0.0,CLOSE,iso,2020,591203.3756,4871167.2909,273.32,POINT (591203.3756 4871167.2909)
8525,2253311,20ODL319686,27A09R03,sostituzione tubazione in acciaio inox ponte di trieste VIA TRIESTE   fiorelli,MASSA,MASSA,(ponte di trieste) VIA TRIESTE,,MASSA,ACCIAIO INOX,150.0,20.0,CLOSE,iso,2020,591242.2775,4876964.859,47568.0,POINT (591242.2775 4876964.859)
8528,2263237,20ODL329512,27A06R01,Perdita acqua dalla rete VIA BERGIOLA 1     spalierno,MASSA,FRANGOLA,VIA BERGIOLA 1,,MASSA,FERRO,110.0,0.0,CLOSE,iso,2020,591230.7874,4877735.1151,242.65,POINT (591230.7874 4877735.1151)
8672,1892073,19ODL341015,25A01R08,Perdita acqua dalla rete,LICCIANA NARDI,LICCIANA NARDI,VIA DELLA RESISTENZA 82,,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2019,579637.3544,4899541.4343,550.28,POINT (579637.3544 4899541.4343)
8697,1654443,18ODL471920,02A01R06,perdita rete idrica,aulla,SERRICCIOLO,pisa,snc,AULLA,FERRO,140.0,0.0,CLOSE,iso,2018,582101.1891,4895385.1815,332.99,POINT (582101.1891 4895385.1815)
8702,1670289,19ODL111575,25A01R15,perdita rete idrica,licciana,CERIA,ceria,,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2019,580019.4741,4899696.3979,238.2,POINT (580019.4741 4899696.3979)
8719,2297323,20ODL362989,27A06R01,Perdita acqua dalla rete VIA BERGIOLA 58 musetti,MASSA,CASTAGNETOLA,BERGIOLA 58,58,MASSA,ACCIAIO,125.0,0.0,CLOSE,iso,2020,591781.3831,4878672.0536,546.64,POINT (591781.3831 4878672.0536)
8721,2297602,20ODL363214,27A09R04,perdita acqua dalla rete VIA DELLE MACCHIE 121      palai,MASSA,POVEROMO,VIA DELLE MACCHIE 121,121,MASSA,ACCIAIO,100.0,0.0,CLOSE,iso,2020,591101.0838,4871268.4463,546.64,POINT (591101.0838 4871268.4463)
8760,1404481,18ODL214891,10A01R05,PERDITA VIA AGRICOLA 56 FOSSOLA,CARRARA,FOSSOLA,VIA AGRICOLA,56,CARRARA,ACCIAIO,100.0,0.0,CLOSE,iso,2018,586247.6118,4880325.3363,270.04,POINT (586247.6118 4880325.3363)
8761,1404486,18ODL214898,10A01R05,PERDITA VIA AGRICOLA 46 FOSSOLA,CARRARA,FOSSOLA,AGRICOLA,46,CARRARA,ACCIAIO,100.0,0.0,CLOSE,iso,2018,586234.5849,4880370.6286,270.04,POINT (586234.5849 4880370.6286)
8790,1483963,18ODL297425,10A02R07,Perdita VIA SIENA 1 MARINA DI CARRARA,CARRARA,MARINA DI CARRARA,via siena 1,1,CARRARA,ACCIAIO,90.0,0.0,CLOSE,iso,2018,583694.8239,4878144.1315,269.54,POINT (583694.8239 4878144.1315)
8793,1484402,18ODL297851,02A02R02,Perdita acqua dalla rete bigliolo,AULLA,BIGLIOLO,provinciale dopo la chiesa del paese 0,,AULLA,PEAD,125.0,0.0,CLOSE,iso,2018,583774.3183,4897897.4327,282.48,POINT (583774.3183 4897897.4327)
8795,1484416,18ODL297870,10A02R06,Perdita gia' eseguita su tubo centrale dn 80 via Prov.le Avenza Sarzana 34 AVENZA,CARRARA,AVENZA,PROV.LE AVENZA SARZANA,34,CARRARA,GHISA,90.0,1.0,CLOSE,iso,2018,584452.0981,4878316.0275,427.33,POINT (584452.0981 4878316.0275)
8813,1904009,19ODL353467,45A17R03,perdita rete idrica,tresana,NAVE,nave,snc,TRESANA,FERRO,114.0,0.0,CLOSE,iso,2019,575747.5794,4897953.1319,930.46,POINT (575747.5794 4897953.1319)
8892,1461277,18ODL274104,10A02R03,PERDITA VIA NUOVA PROV.LE DI NAZZANO 24 LOC. NAZZANO,CARRARA,NAZZANO,NUOVA PROV.LE DI NAZZANO,24,CARRARA,PEAD,110.0,0.0,CLOSE,iso,2018,586128.9442,4878198.0727,269.54,POINT (586128.9442 4878198.0727)
8893,1461654,18ODL274517,10A01R05,Perdita via agricola 60 fossola,CARRARA,CARRARA ADIACENZE,VIA AGRICOLA 60,60,CARRARA,PEAD,160.0,1.0,CLOSE,iso,2018,586237.1614,4880221.0905,359.51,POINT (586237.1614 4880221.0905)
8930,1495868,18ODL309664,02A02R02,Perdita acqua dalla rete,AULLA,BIGLIOLO,VIA MEUCCI 0,,AULLA,PEAD,125.0,0.0,CLOSE,iso,2018,583775.593,4897896.1086,282.48,POINT (583775.593 4897896.1086)
8936,1506704,18ODL320632,02A02R02,Perdita acqua dalla rete,AULLA,BIGLIOLO,VIA PROVINCIALE 0,,AULLA,PEAD,125.0,0.0,CLOSE,iso,2018,583783.12,4897909.2788,304.5,POINT (583783.12 4897909.2788)
8942,1508007,18ODL321602,02A02R02,Perdita acqua dalla rete,AULLA,BIGLIOLO,VIA PROVINCIALE 0,,AULLA,PEAD,125.0,0.0,CLOSE,iso,2018,583797.2868,4897964.0918,282.48,POINT (583797.2868 4897964.0918)
8944,1511988,18ODL325576,02A02R02,Perdita acqua dalla rete eseguita il 04 08 2018,AULLA,BIGLIOLO,strada provinciale 0,,AULLA,PEAD,125.0,0.0,CLOSE,iso,2018,583807.8803,4897990.9737,304.5,POINT (583807.8803 4897990.9737)
8945,1512363,18ODL325979,02A02R02,Perdita acqua dalla rete,AULLA,BIGLIOLO,VIA PROVINCIALE 0,,AULLA,PEAD,125.0,0.0,CLOSE,iso,2018,583792.4962,4897921.3837,282.48,POINT (583792.4962 4897921.3837)
8951,1519088,18ODL333276,10A02R06,Perdita via fiaschi 69 avenza,CARRARA,AVENZA,VIA FIASCHI 69,69,CARRARA,PEAD,110.0,0.0,CLOSE,iso,2018,584391.6481,4877848.6453,269.54,POINT (584391.6481 4877848.6453)
8989,1465922,18ODL278861,10A02R03,Perdita GIA' ESEGUITA VIA NUOVA  PROV.LE DI NAZZANO LOC. NAZZANO,CARRARA,NAZZANO,PROV.LE DI NAZZANO,,CARRARA,PEAD,110.0,0.0,CLOSE,iso,2018,586168.8714,4878524.6342,302.61,POINT (586168.8714 4878524.6342)
9008,1484469,18ODL297955,10A01R05,Perdita dalla Rete VIA AGRICOLA 110 FOSSOLA,CARRARA,CARRARA,VIA AGRICOLA 110,110,CARRARA,PEAD,160.0,0.0,CLOSE,iso,2018,585708.8834,4879797.1448,489.68,POINT (585708.8834 4879797.1448)
9017,1501464,18ODL315389,10A02R03,Perdita via forma bassa 1 nazzano,CARRARA,CARRARA ADIACENZE,VIA FORMA BASSA 1,1,CARRARA,PEAD,110.0,0.0,CLOSE,iso,2018,586184.6371,4878687.0589,326.81,POINT (586184.6371 4878687.0589)
9020,1744911,19ODL187694,25A01R08,perdita rete idrica,licciana,MONTI,s. martino,,LICCIANA NARDI,FERRO,110.0,0.0,CLOSE,iso,2019,581611.2745,4900723.3132,299.6,POINT (581611.2745 4900723.3132)
9058,1540318,18ODL355134,10A02R06,PERDITA VIA PASCOLI 23 LOC. MARASIO AVENZA,CARRARA,MARASIO,PASCOLI 23,23,CARRARA,ACCIAIO,200.0,3.0,CLOSE,iso,2018,585157.9287,4879285.3717,1806.29,POINT (585157.9287 4879285.3717)
9065,1545886,18ODL360656,02A02R02,Perdita acqua dalla rete eseguita il 08 09 2018,AULLA,BIGLIOLO,VIA MEUCCI 0,,AULLA,PEAD,125.0,0.0,CLOSE,iso,2018,583797.2866,4897967.8077,304.5,POINT (583797.2866 4897967.8077)
9071,1546808,18ODL361826,02A02R02,Perdita acqua dalla rete,AULLA,BIGLIOLO,VIA MEUCCI 0,,AULLA,PEAD,125.0,0.0,CLOSE,iso,2018,583848.3872,4898106.5209,282.48,POINT (583848.3872 4898106.5209)
9074,1552781,18ODL368194,02A02R02,Perdita acqua dalla rete,AULLA,BIGLIOLO,VIA MEUCCI 0,,AULLA,PEAD,125.0,0.0,CLOSE,iso,2018,583806.7332,4897992.3578,282.48,POINT (583806.7332 4897992.3578)
