,workorderid,wonum,location,description,comune,localita,via,civico,comune_loc,materiale,diametro,l_intervento,status,reportdate,anno,x,y,serv_cost,geometry
2612,961276,17ODL128973,02A03R01,Perdita acqua dalla rete via liberta albiano aulla eseguita il 22 01 2017,AULLA,ALBIANO MAGRA,VIA DELLA LIBERTA' 10,10,AULLA,PEAD,90.0,0.0,CLOSE,iso,2017,572518.2061,4891517.9494,262.89,POINT (572518.2061 4891517.9494)
2615,981463,17ODL149722,02A03R01,Perdita acqua dalla rete,AULLA,ALBIANO MAGRA,VIA DELLA LIBERTA' 10,,AULLA,PEAD,90.0,0.0,CLOSE,iso,2017,572495.9991,4891542.1478,234.59,POINT (572495.9991 4891542.1478)
2636,450506,15ODL122065,25A01R16,perdita idrica,Licciana,LA GOLETTA   LICCIANA,strada prov n° 74 massese,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,583564.4404,4902511.0192,521.05,POINT (583564.4404 4902511.0192)
2637,450509,15ODL122070,25A01R16,Perdita idrica,Licciana N,BIVIO PER VARANO,strada prov n°74 massese,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,584562.6307,4903429.9241,260.52,POINT (584562.6307 4903429.9241)
2638,450521,15ODL122085,25A01R12,perdita idrica,Licciana n,LICCIANA  ( DA GATTICINI ),Licciana,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,583551.1544,4902509.7871,231.29,POINT (583551.1544 4902509.7871)
2643,455092,15ODL126877,25A01R16,perdita idrica,Licciana N,CAMPOGRANDE,Provinciale n° 74 Massese,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,584896.141,4903658.2449,260.52,POINT (584896.141 4903658.2449)
2645,455206,15ODL126901,25A01R16,perdita idrica,Licciana N,LA CASETTA,strada prov n°74 massese,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,583847.8273,4902854.1913,260.52,POINT (583847.8273 4902854.1913)
2664,449975,15ODL121419,25A01R16,Perdita acqua dalla rete,LICCIANA NARDI,MONTI - LICCIANA NARDI,Strama provinciale per lagastrello 74,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,585286.8931,4903925.9527,1042.09,POINT (585286.8931 4903925.9527)
2665,449984,15ODL121428,25A01R16,Perdita acqua dalla rete,LICCIANA NARDI,LICCIANA NARDI,VIA MAESTA'DEI SALDI 6,6,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,584924.8918,4903697.0029,260.52,POINT (584924.8918 4903697.0029)
2666,449986,15ODL121430,25A01R16,perdita idrica,licciana N,CAMPOGRANDE,strada prov Nà 74 massese,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,585046.1402,4903795.2207,260.52,POINT (585046.1402 4903795.2207)
2668,450515,15ODL122078,25A01R16,perdita idrica,Licciana N,CAMPOGRANDE ( DA LANDINI ),strada prov n°74 massese,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,584969.6227,4903743.9743,260.52,POINT (584969.6227 4903743.9743)
2678,459629,15ODL131517,25A01R16,Perdita acqua dalla rete Gerali n,LICCIANA NARDI,LICCIANA NARDI,Campo grande 8,8,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,583748.0745,4902773.5507,260.52,POINT (583748.0745 4902773.5507)
2687,463726,15ODL135759,25A01R16,Perdita idrica,Licciana N,C.S.TAVERNELLE,S.P. n° 74 Massese,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,584612.4191,4903467.1503,260.52,POINT (584612.4191 4903467.1503)
2688,463732,15ODL135765,25A01R16,Perdita idrica,Licciana N,MAESTA DEI SALDI,S.P. Nà 74 Massese,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,584234.6748,4903166.4756,521.05,POINT (584234.6748 4903166.4756)
2689,464550,15ODL136467,02A02R02,Perdita acqua dalla rete,AULLA,BIGLIOLO,VIA MEUCCI 0,snc,AULLA,PEAD,125.0,0.0,CLOSE,iso,2015,583868.6001,4898183.5741,295.19,POINT (583868.6001 4898183.5741)
2708,689818,16ODL182884,51A01R02,PERDITA STRADALE,VILLAFRANCA IN LUNIGIANA,MALGRATE,malgrate,,VILLAFRANCA IN LUNIGIANA,PEAD,90.0,1.0,CLOSE,iso,2016,577095.3464,4907242.1537,227.38,POINT (577095.3464 4907242.1537)
2737,500205,15ODL171492,02A02R03,PERDITA RETE IDRICA SU S.P. LOC. OLIVOLA,AULLA,OLIVOLA,SP. N. 19,SNC,AULLA,FERRO,168.0,0.0,CLOSE,iso,2015,582102.6886,4897634.3644,278.2,POINT (582102.6886 4897634.3644)
2738,500207,15ODL171495,02A02R03,PERDITA RETE IDRICA SU STRADA PROVINCIALE IN LOC OLIVOLA ESEGUITA IL 06/08,AULLA,OLIVOLA,SP.19,SNC,AULLA,FERRO,168.0,0.0,CLOSE,iso,2015,582159.5683,4897515.0468,278.2,POINT (582159.5683 4897515.0468)
2740,503865,15ODL174938,25A01R15,Perdita acqua dalla rete,LICCIANA NARDI,MONTI - LICCIANA NARDI,Provinciale 0,snc,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,580113.1071,4899756.6063,287.01,POINT (580113.1071 4899756.6063)
2741,504234,15ODL175409,25A01R08,Perdita acqua dalla rete,LICCIANA NARDI,CERIA,VIA DELLA RESISTENZA 12,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,579830.6424,4899585.5305,256.11,POINT (579830.6424 4899585.5305)
2755,508240,15ODL179587,25A01R16,riparazione perdita,licciana,CADRECCA,cadrecca,27,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,579741.0249,4899546.9157,256.11,POINT (579741.0249 4899546.9157)
2773,429790,15ODL100316,10A01R05,PERDITA VIA AGRICOLA ANG. VIA MAGENTA LOC. FOSSOLA,CARRARA,FOSSOLA,AGRICOLA ANG. VIA MAGENTA,0,CARRARA,PEAD,110.0,,CLOSE,iso,2015,586222.8425,4880448.8315,347.47,POINT (586222.8425 4880448.8315)
2779,434217,15ODL105086,10A01R06,PERDITA VIA BONASCOLA 1 LOC. BONASCOLA,CARRARA,BONASCOLA,BONASCOLA,1,CARRARA,ACCIAIO,100.0,,CLOSE,iso,2015,586956.0557,4878916.5258,293.0,POINT (586956.0557 4878916.5258)
2789,450498,15ODL122057,25A01R16,Perdita acqua dalla rete loc la Cantoniera,LICCIANA NARDI,TAVERNELLE LICCIANA NARDI,VIA VALDENZA 0,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,585956.5688,4906269.5953,260.52,POINT (585956.5688 4906269.5953)
2794,481783,15ODL153189,10A02R04,PERDITA STRADALE VIA CAVAIOLA ANGOLO VIA BOLFANO,CARRARA,FOSSONE,CAVAIOLA,0000,CARRARA,ACCIAIO,110.0,0.0,CLOSE,iso,2015,584383.4733,4879103.0846,586.0,POINT (584383.4733 4879103.0846)
2797,485764,15ODL157267,25A01R10,perdita idrica,Licciana,MAESTA DEI SALDI,strada provinciale n 74 massese,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,585053.9204,4903799.1611,256.11,POINT (585053.9204 4903799.1611)
2800,487138,15ODL158780,25A01R16,perdita idrica,Licciana n,CAMPOGRANDE,strada prov n 74 massese,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,583861.3164,4902872.3644,256.11,POINT (583861.3164 4902872.3644)
2801,487177,15ODL158824,10A02R06,Perdita acqua dalla rete,CARRARA,AVENZA,VIA SIENA - AVENZA,1,CARRARA,ACCIAIO,90.0,0.0,CLOSE,iso,2015,583720.0709,4878175.1952,293.0,POINT (583720.0709 4878175.1952)
2802,487226,15ODL158882,25A01R15,ricerca perdita occulta,Licciana n,BIVIO PER VARANO,strada prov n° 74 massese,0,LICCIANA NARDI,ACCIAIO,100.0,0.0,CLOSE,iso,2015,585110.8622,4903821.7003,256.11,POINT (585110.8622 4903821.7003)
2803,490119,15ODL161729,10A02R06,PERDITA VIALE GALILEI  2 ANG. VIA PROV.  AVENZA SARZANA LOC. AVENZA,CARRARA,AVENZA,GALILEI,2,CARRARA,PEAD,90.0,0.0,CLOSE,iso,2015,583783.833,4878892.7938,293.0,POINT (583783.833 4878892.7938)
2804,491057,15ODL162698,25A01R16,perdita rete idrica in loc maestà dei saldi eseguita domenica 26/ 07/ 2015,licciana,MONTI,monti,snc,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,585103.8249,4903814.9435,287.01,POINT (585103.8249 4903814.9435)
2816,504149,15ODL175303,25A01R10,perdita dalla rete,licciana,MAESTA DEI SALDI,maesta dei saldi,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,584642.1154,4903469.5366,256.11,POINT (584642.1154 4903469.5366)
2819,504665,15ODL175922,02A02R02,Mancata fornitura idrica MONTEBARELLI per perdita bigliolo c/ochiesa,AULLA,BIGLIOLO,VIA MONTEBARELLI 18,18,AULLA,PEAD,125.0,0.0,CLOSE,iso,2015,583746.3064,4897788.2803,278.2,POINT (583746.3064 4897788.2803)
2820,508242,15ODL179589,25A01R10,riparazione perdita,licciana,MAESTA DEI SALDI,massese 74,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,584653.524,4903479.2627,256.11,POINT (584653.524 4903479.2627)
2872,776557,16ODL274730,25A03R43,Perdita acqua dalla rete,LICCIANA NARDI,LICCIANA NARDI,VIA CAMPOSAGNA 6,,LICCIANA NARDI,FERRO,90.0,0.0,CLOSE,iso,2016,576605.2794,4898213.3556,512.23,POINT (576605.2794 4898213.3556)
2898,459824,15ODL131760,10A01R03,Perdita acqua dalla rete,CARRARA,CARRARA,VIA FICOLA,000,CARRARA,PEAD,110.0,0.0,CLOSE,iso,2015,587135.6752,4880241.5975,694.94,POINT (587135.6752 4880241.5975)
2900,463297,15ODL135212,10A01R06,PERDITA VIA QUASIMODO 3/B BONASCOLA,CARRARA,BONASCOLA,QUASIMODO,,CARRARA,ACCIAIO,90.0,0.0,CLOSE,iso,2015,586841.1165,4879296.8696,694.94,POINT (586841.1165 4879296.8696)
2902,464557,15ODL136475,10A01R06,Perdita VIA CASALINA 39 BONASCOLA,CARRARA,BONASCOLA,CASALINA,39,CARRARA,PEAD,90.0,0.0,CLOSE,iso,2015,586950.6132,4878718.5627,957.46,POINT (586950.6132 4878718.5627)
2914,471922,15ODL143848,25A01R15,perdita idrica,Licciana N,VARANO,strada comunale per varano,0,LICCIANA NARDI,ACCIAIO,100.0,0.0,CLOSE,iso,2015,585830.4367,4904667.9062,231.29,POINT (585830.4367 4904667.9062)
2915,472067,15ODL144034,27A09R02,"PERDITA ALLACCIO VIA BARACCHINI, 28",MASSA,PARTACCIA,VIA BARACCHINI,28,MASSA,FERRO,100.0,0.0,CLOSE,iso,2015,586277.2336,4876337.1338,467.87,POINT (586277.2336 4876337.1338)
2916,472408,15ODL144278,25A01R15,perdita idrica,Licciana N,TAVERNELLE,Val D'Enza,0,LICCIANA NARDI,ACCIAIO,100.0,0.0,CLOSE,iso,2015,585955.024,4906356.2485,462.58,POINT (585955.024 4906356.2485)
2927,508507,15ODL179931,27A13R01,PERDITA TUBAZIONE RETE VIA AURELIA SUD TUBAZIONE CANALMAGRO,MASSA,TURANO,VIA AURELIA SUD - TUBAZIONE CANALMAGRO,,MASSA,GHISA,150.0,0.0,CLOSE,iso,2015,591834.9799,4875446.5499,402.71,POINT (591834.9799 4875446.5499)
2932,513210,15ODL184856,27A09R04,Perdita acqua dalla rete VIA VOLPINA 40,MASSA,MASSA,VIA VOLPINA 40,,MASSA,PEAD,90.0,0.0,CLOSE,iso,2015,591633.219,4872545.1844,250.69,POINT (591633.219 4872545.1844)
2941,522394,15ODL194438,27A09R04,"PERDITA RETE VIA DELLE MACCHIE, 150",MASSA,POVEROMO,VIA DELLE MACCHIE,150,MASSA,FERRO,100.0,0.0,CLOSE,iso,2015,591176.9365,4871194.431,362.93,POINT (591176.9365 4871194.431)
2953,791675,16ODL290790,25A01R15,Perdita acqua dalla rete,LICCIANA NARDI,MONTI - LICCIANA NARDI,ca di recca 39,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2016,579578.0521,4899532.5326,275.84,POINT (579578.0521 4899532.5326)
2989,477754,15ODL149407,10A02R05,PERDITA VIA MURLUNGO 4/B AVENZA,CARRARA,AVENZA,MURLUNGO,4/B,CARRARA,PEAD,110.0,0.0,CLOSE,iso,2015,586108.2959,4877389.1089,347.47,POINT (586108.2959 4877389.1089)
2995,482283,15ODL153697,10A02R03,PERDITA STRADALE,CARRARA,NAZZANO,PROV.DI NAZZANO,20,CARRARA,PEAD,110.0,0.0,CLOSE,iso,2015,586160.8209,4878248.5107,347.47,POINT (586160.8209 4878248.5107)
2999,486402,15ODL158018,10A02R03,PERDITA VIA FORMA BASSA 1 LOC. NAZZANO,CARRARA,NAZZANO,FORMA BASSA,1,CARRARA,PEAD,110.0,5.0,CLOSE,iso,2015,586169.8742,4878708.6493,689.37,POINT (586169.8742 4878708.6493)
3000,486719,15ODL158442,10A02R03,PERDITA STRADALE,CARRARA,NAZZANO,NUOVA PROVINCIALE,1,CARRARA,PEAD,110.0,0.0,CLOSE,iso,2015,586206.7581,4878377.8162,347.47,POINT (586206.7581 4878377.8162)
3003,487139,15ODL158781,25A01R16,perdita idrica  Giuliotti,LICCIANA NARDI,LICCIANA NARDI,VIA MAESTA'DEI SALDI 6,6,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,585638.0868,4904000.914,256.11,POINT (585638.0868 4904000.914)
3008,499305,15ODL170659,25A01R16,Perdita acqua dalla rete Spediacci F,LICCIANA NARDI,LICCIANA NARDI,VIA BOSCO 13,13,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,585706.5303,4906058.6385,256.11,POINT (585706.5303 4906058.6385)
3024,504310,15ODL175513,10A02R03,PERDITA VIA NUOVA PROV. CARRARA AVENZA ANG. VIA DELVEDERE NAZZANO,CARRARA,NAZZANO,NUOV. PROV. CARRARA AVENZA ANG. VIA BELVEDERE,0,CARRARA,PEAD,110.0,0.0,CLOSE,iso,2015,586209.0362,4878369.8707,347.47,POINT (586209.0362 4878369.8707)
3029,504468,15ODL175657,10A01R06,PERDITA VIA DELLA PERLA 2 LOC. BONASCOLA,CARRARA,BONASCOLA,PERLA,2,CARRARA,ACCIAIO,110.0,0.0,CLOSE,iso,2015,587231.3799,4878812.3392,531.24,POINT (587231.3799 4878812.3392)
3036,508143,15ODL179471,27A09R02,"PERDITA ALLACCIO  VIA F.T. BARACCHINI, 28",MASSA,MARINA DI MASSA,VIA  F.T  BARACCHINI.,28,MASSA,ACCIAIO,125.0,0.0,CLOSE,iso,2015,585848.7055,4875775.8931,435.93,POINT (585848.7055 4875775.8931)
3038,508300,15ODL179664,27A09R02,"PERDITA RETE VIA RICORTOLA, 218",MASSA,MARINA DI MASSA,RICORTOLA,218,MASSA,FERRO,150.0,0.0,CLOSE,iso,2015,587204.8012,4874526.5027,334.67,POINT (587204.8012 4874526.5027)
3048,536337,15ODL209177,27A06R02,"PERDITA STRADALE  S.P. 6 DI BERGIOLA, C/O INIZIO ABITATO LAVACCHIO",MASSA,LAVACCHIO,"S.P. 6 DI BERGIOLA, C/O INIZIO ABITATO LAVACCHIO",,MASSA,CEMENTO ARMATO,125.0,0.0,CLOSE,iso,2015,591358.75,4878128.9925,332.28,POINT (591358.75 4878128.9925)
3049,545089,15ODL218146,27A09R04,"PERDITA RETE VIA DELLE MACCHIE, TRA VIA SIENA  - VIA FESCIONE",MASSA,POVEROMO,"VIA DELLE MACCHIE, TRA VIA SIENA - VIA FESCIONE",,MASSA,FERRO,100.0,0.0,CLOSE,iso,2015,591193.1903,4871179.9355,280.2,POINT (591193.1903 4871179.9355)
3057,554903,15ODL228340,27A09R04,"PERDITA RETE VIA STRADELLA, 191 ABC",MASSA,RONCHI,VIA STRADELLA,191ABC,MASSA,FERRO,150.0,0.0,CLOSE,iso,2015,590792.7035,4872754.7453,499.67,POINT (590792.7035 4872754.7453)
3065,563499,15ODL237371,27A13R01,PERDITA RETE TUBAZIONE CANALMAGRO,MASSA,TURANO,"VIA AURELIA SUD , C/O TUBAZIONE CANALMAGRO",,MASSA,GHISA,160.0,1.0,CLOSE,iso,2015,591842.6649,4875484.2349,536.48,POINT (591842.6649 4875484.2349)
3072,574865,15ODL248760,27A09R03,",PERDITA RETE VIA MARINA VECCHIA, 124 ANG. VIA VOLTA",MASSA,MASSA,VIA MARINA VECCHIA,124,MASSA,FERRO,100.0,0.0,CLOSE,iso,2015,590869.9873,4876065.7145,280.2,POINT (590869.9873 4876065.7145)
3075,508828,15ODL180240,25A01R12,riparazione perdita,liccina,GOLLETTA,massese 74,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,583524.3817,4902500.0283,947.09,POINT (583524.3817 4902500.0283)
3085,498661,15ODL170285,10A02R06,Avvallamento stradale via prov.avenza sarzana angolo viale galilei,CARRARA,AVENZA,PROVINCIALE AVENZA SARZANA ANG. GALILEI,00,CARRARA,ACCIAIO,90.0,0.0,CLOSE,iso,2015,583782.8865,4878892.598,293.0,POINT (583782.8865 4878892.598)
3089,500377,15ODL171621,25A01R16,perdita idrica,Licciana n,MAESTA DEI SALDI,strada prov n° 74 massese,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,585286.7497,4903921.243,256.11,POINT (585286.7497 4903921.243)
3092,512693,15ODL184235,02A02R02,Perdita acqua dalla rete bigliolo,AULLA,BIGLIOLO,Cadodolo 0,,AULLA,FERRO,114.0,0.0,CLOSE,iso,2015,583783.2351,4897737.577,234.59,POINT (583783.2351 4897737.577)
3095,517585,15ODL189453,02A02R02,perdita rete idrica su strada prov bigliolo eseguita sabato 29 08 2015,aulla,BIGLIOLO,meucci,snc,AULLA,PEAD,125.0,0.0,CLOSE,iso,2015,583804.21,4897978.802,287.01,POINT (583804.21 4897978.802)
3096,517599,15ODL189477,10A02R04,PERDITA ( ESEG) VIA FOSSONE ALTO 34 FOSSONE,CARRARA,FOSSONE,FOSSONE ALTO,34,CARRARA,PEAD,90.0,0.0,CLOSE,iso,2015,584044.8897,4879982.7796,293.0,POINT (584044.8897 4879982.7796)
3098,521128,15ODL192998,25A01R12,Perdita acqua dalla rete,LICCIANA NARDI,LICCIANA NARDI,VIA CAMPOGRANDE 8,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,584050.3454,4903015.2231,256.11,POINT (584050.3454 4903015.2231)
3105,521714,15ODL193611,15A01R15,rip perdita,LICCIANA NARDI,LICCIANA NARDI,VIA NAZIONALE 82,,COREGLIA ANTELMINELLI,PEAD,110.0,0.0,CLOSE,iso,2015,584784.7914,4903583.2865,227.51,POINT (584784.7914 4903583.2865)
3114,844034,16ODL345264,25A03R43,Perdita acqua dalla rete,LICCIANA NARDI,LICCIANA NARDI,STR.PROV.LE 23 DI TRESANA LOC.CAMPOSAGNA 0,,LICCIANA NARDI,PEAD,90.0,0.0,CLOSE,iso,2016,576567.8096,4898760.884,469.18,POINT (576567.8096 4898760.884)
3139,512682,15ODL184220,02A02R03,Perdita acqua dalla rete collina aulla,AULLA,OLIVOLA,VIA COLLINA 2,2,AULLA,FERRO,168.0,0.0,CLOSE,iso,2015,581783.7376,4897766.5232,583.3,POINT (581783.7376 4897766.5232)
3148,499750,15ODL171055,25A01R16,prdita idrica,Licciana N,ARIELLA,strada prov n°74 massese,,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,583051.2235,4902027.3677,1287.49,POINT (583051.2235 4902027.3677)
3152,509174,15ODL180676,25A01R12,rip perdita loc ariella,licciana,ARIELLA,ariella,65,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,583125.7542,4902139.2057,768.34,POINT (583125.7542 4902139.2057)
3158,521297,15ODL193241,25A01R12,perdita dalla rete ariella,licciana nardi,ARIELLA,massese 74,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,583069.4671,4901918.0037,256.11,POINT (583069.4671 4901918.0037)
3160,522563,15ODL194619,25A01R12,perdita sulla reta,licciana nardi,ARIELLA,PROVINCIALE,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,583137.1442,4902143.0688,256.11,POINT (583137.1442 4902143.0688)
3166,530516,15ODL202927,02A02R02,Perdita acqua dalla rete bigliolo,AULLA,BIGLIOLO,Provinciale 0,,AULLA,PEAD,125.0,0.0,CLOSE,iso,2015,583064.9081,4897387.2526,278.2,POINT (583064.9081 4897387.2526)
3168,530644,15ODL203098,25A01R12,rip perdita massese 74 ariella,licciana,ARIELLA,nazionale,59,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,583113.296,4902110.6759,256.11,POINT (583113.296 4902110.6759)
3172,512550,15ODL184048,27A09R02,"PERDITA RETE VIA RICORTOLA, 166",MASSA,RICORTOLA,VIA RICORTOLA,166,MASSA,ACCIAIO,114.0,0.0,CLOSE,iso,2015,587234.9549,4874535.1238,334.67,POINT (587234.9549 4874535.1238)
3176,512706,15ODL184253,27A09R02,"PERDITA RETE VIA RICORTOLA, TRA VIA POLA E VIA DELLE PINETE",MASSA,MARINA DI MASSA,VIA RICORTOLA (TRA VIA POLA E VIA PINETE),,MASSA,ACCIAIO,125.0,0.0,CLOSE,iso,2015,587230.8077,4874537.047,375.2,POINT (587230.8077 4874537.047)
3177,513409,15ODL185096,27A09R02,"PERDITA RETE VIA BOZZONE, 4",MASSA,RICORTOLA,VIA BOZZONE,2,MASSA,FERRO,100.0,0.0,CLOSE,iso,2015,587306.1422,4875623.7266,314.72,POINT (587306.1422 4875623.7266)
3181,517496,15ODL189333,27A09R02,"PERDITA RETE VIA RICORTOLA, 191",RICORTOLA,MASSA,VIA RICORTOLA,191,MASSA,ACCIAIO,150.0,0.0,CLOSE,iso,2015,587206.3463,4874520.0526,334.67,POINT (587206.3463 4874520.0526)
3183,517598,15ODL189475,10A02R03,PERDITA ( ESEG) VIA FORMA BASSA 1 LOC. NAZZANO,CARRARA,NAZZANO,FORMA BASSA,1,CARRARA,PEAD,110.0,0.0,CLOSE,iso,2015,586173.5801,4878701.8441,347.47,POINT (586173.5801 4878701.8441)
3185,517618,15ODL189502,10A02R03,PERDITA ( ESEG) VIA NUOVA PROVINCIALE DI NAZZANO 24,CARRARA,NAZZANO,NUOVA PROV.LE DI NAZZANO,24,CARRARA,PEAD,110.0,0.0,CLOSE,iso,2015,586122.4624,4878188.4922,347.47,POINT (586122.4624 4878188.4922)
3186,521154,15ODL193033,10A02R03,PERDITA VIA NUOVA PROV.LE DI NAZZANO 30 LOC. NAZZANO,CARRARA,NAZZANO,NUOVA PROV.LE DI NAZZANO,30,CARRARA,PEAD,110.0,0.0,CLOSE,iso,2015,586025.1004,4878034.1696,287.81,POINT (586025.1004 4878034.1696)
3202,522568,15ODL194624,25A01R10,perdita dalla rete,licciana nardi,MAESTA DEIN SALDI,provinciale,0,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,585099.8217,4903832.9416,295.43,POINT (585099.8217 4903832.9416)
3204,525902,15ODL197937,25A01R10,Perdita acqua dalla rete,LICCIANA NARDI,LICCIANA NARDI,Loc campogrande 8,8,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,584366.5222,4903331.2257,256.11,POINT (584366.5222 4903331.2257)
3207,530695,15ODL203163,10A02R07,PERDITA VIALE ZACCAGNA DI FRONTE OFF. VOLVO MARINA DI CARRARA,CARRARA,MARINA DI CARRARA,ZACCAGNA,22,CARRARA,ACCIAIO,165.0,0.0,CLOSE,iso,2015,584829.3321,4876586.6801,688.54,POINT (584829.3321 4876586.6801)
3227,541315,15ODL214334,25A01R10,perdita dalla rete maesta dei saldi,licciana nardi,MAESTA DEI SALDI,provinciale massese,o,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,584958.0154,4903791.5424,256.11,POINT (584958.0154 4903791.5424)
3233,531807,15ODL204508,02A01R02,perdita rete idrica su condotta principale in loc pallerone via della pace,aulla,PALLERONE,della pace,snc,AULLA,FERRO,140.0,0.0,CLOSE,iso,2015,579983.3757,4894976.5331,208.38,POINT (579983.3757 4894976.5331)
3241,536266,15ODL209077,25A01R12,predita rete idrica in loc ariella licciana nardi,licciana,ARIELLA,provinciale,snc,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,583225.3967,4902256.3742,512.23,POINT (583225.3967 4902256.3742)
3242,540644,15ODL213528,25A01R24,Perdita acqua dalla rete,LICCIANA NARDI,ARIELLA - LICCIANA NARDI,VIA PROVINCIALE 49,,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,583110.8075,4902109.138,256.11,POINT (583110.8075 4902109.138)
3243,540813,15ODL213781,25A01R12,perdita dalla rete,licciana,ARIELLA,nazionale 69,69,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,583164.5642,4902180.8809,483.62,POINT (583164.5642 4902180.8809)
3246,549979,15ODL223296,02A02R05,perdita rete idrica in loc serricciolo via lucca n 12,AULLA,SERRICCIOLO,VIA LUCCA 12,12,AULLA,FERRO,140.0,0.0,CLOSE,iso,2015,582382.6569,4895031.3334,234.59,POINT (582382.6569 4895031.3334)
3248,550104,15ODL223476,25A01R12,perdita dalla rete ariella,licciana nardi,ARIELLA,provinciale massese,0,LICCIANA NARDI,PEAD,110.0,3.0,CLOSE,iso,2015,583067.9998,4902042.6537,256.11,POINT (583067.9998 4902042.6537)
3266,549870,15ODL223156,02A02R02,perdita rete idrica su strada provinciale in loc bigliolo,AULLA,BIGLIOLO,VIA PROVINCIALE 0,snc,AULLA,PEAD,125.0,3.0,CLOSE,iso,2015,583804.2802,4897979.5314,278.2,POINT (583804.2802 4897979.5314)
3269,553719,15ODL227112,10A02R06,PERDITA VIA COVETTA ANG. VIA SIENA LOC. AVENZA,CARRARA,AVENZA,COVETTA,0,CARRARA,ACCIAIO,90.0,0.0,CLOSE,iso,2015,583729.2686,4878187.5844,762.86,POINT (583729.2686 4878187.5844)
3273,554343,15ODL227913,10A02R06,PERDITA VIA SIENA ANG. VIA COVETTA AVENZA,CARRARA,AVENZA,SIENA ANG. VIA COVETTA,0,CARRARA,ACCIAIO,90.0,0.0,CLOSE,iso,2015,583730.2904,4878189.7271,287.81,POINT (583730.2904 4878189.7271)
3282,558499,15ODL231970,25A01R12,perdita rete idrica in loc maestà dei saldi,licciana,MAESTÀ DEI SALDI,maestà dei saldi,snc,LICCIANA NARDI,PEAD,110.0,0.0,CLOSE,iso,2015,584191.5499,4903123.9976,512.23,POINT (584191.5499 4903123.9976)
3289,562536,15ODL236166,10A02R07,PERDITA STRADALE (PRESSO PONTE AUTOSTRADA),CARRARA (MARINA DI CARRARA),MARINA DI CARRARA,VIALE XX SETTEMBRE,298,CARRARA,GHISA,200.0,0.0,CLOSE,iso,2015,584222.901,4877348.5862,287.81,POINT (584222.901 4877348.5862)
3291,562860,15ODL236654,10A02R07,PERDITA VIA MENOTTI ANG. PIAZZA MENCONI LOC. MARINA DI CARRARA,CARRARA,MARINA DI CARRARA,CIRO MENOTTI ANG. PIAZZA MENCONI,0,CARRARA,PEAD,110.0,0.0,CLOSE,iso,2015,583814.6783,4876644.196,369.25,POINT (583814.6783 4876644.196)
